manga,stem,method,iou,precision,recall,f1,tp,fp,fn,inference_time_seconds
EverydayOsakanaChan,004,standin,0.0048839158151691405,0.004948876632047567,0.27117360379346683,0.009720358219102894,8235,1655779,22133,0.0
EverydayOsakanaChan,005,standin,0.003552341532264459,0.0035877422911898874,0.2647152402163538,0.007079534141369447,5824,1617481,16177,0.0
EverydayOsakanaChan,006,standin,0.004750973269119265,0.004811189280454589,0.27515076754385964,0.009457016505614736,8030,1660996,21154,0.0
EverydayOsakanaChan,007,standin,0.006063389878433022,0.006152659286967743,0.29473324018363795,0.01205369351361784,10336,1669588,24733,0.0
EverydayOsakanaChan,008,standin,0.0057888872880397626,0.00587256333750265,0.28890225736220926,0.011511137896241105,10085,1707223,24823,0.0
EverydayOsakanaChan,009,standin,0.002130918823495914,0.002143971526774721,0.2592669576664588,0.004252775327993308,3742,1741617,10691,0.0
GakuenNoise,000,standin,0.019969648624460094,0.021679906423613393,0.20200659534826762,0.039157338949039,23094,1042132,91229,0.0
GakuenNoise,001,standin,0.015765564258905525,0.016320090022714066,0.31693608219609254,0.031041738002622596,14097,849685,30382,0.0
GakuenNoise,002,standin,0.0016672424328075404,0.001681115780877169,0.1680737613863586,0.003328934724386537,3026,1796969,14978,0.0
GakuenNoise,003,standin,0.003695473422733528,0.0037638635396143524,0.1690080605362724,0.007363734360844486,5137,1359684,25258,0.0
GakuenNoise,004,standin,0.004955554310093707,0.005022803189851721,0.2701418225709113,0.009862235775184539,7162,1418735,19350,0.0
GakuenNoise,005,standin,0.006531371362121015,0.0066722878873681415,0.2362070575056012,0.01297797872565507,10121,1506750,32727,0.0
GakuenNoise,006,standin,0.0032866456167135088,0.0033241051236060203,0.22579790756191234,0.006551757926954623,5115,1533645,17538,0.0
GakuenNoise,007,standin,0.0017103866644468493,0.0017175566287563387,0.29063984970714996,0.0034149324739303016,2630,1528615,6419,0.0
GakuenNoise,008,standin,0.00046418491296683394,0.00046469381740245195,0.2976833976833977,0.0009279390906076557,771,1658386,1819,0.0
GakuenNoise,009,standin,0.0012030606668339506,0.0012059988513696252,0.3305685156385001,0.002403230102058763,1913,1584324,3874,0.0
GarakutayaManta,000,standin,0.07015152479955002,0.07549541613813475,0.4977550405692878,0.13110577927306152,105761,1295132,106715,0.0
